19|21|27|46|47|7|22|41|42|49|67|11
1|10|43|45|64|22|19|21|27|46|47|7
4|7|15|41|44|10|1|10|43|45|64|22
3|9|20|42|61|24|4|7|15|41|44|10
7|28|37|62|63|15|3|9|20|42|61|24
16|29|43|45|56|25|7|28|37|62|63|15
4|14|23|27|56|13|16|29|43|45|56|25
9|45|57|58|65|9|4|14|23|27|56|13
13|20|38|45|55|1|9|45|57|58|65|9
6|10|15|25|36|14|13|20|38|45|55|1
23|28|41|53|56|14|6|10|15|25|36|14
23|25|37|44|64|7|23|28|41|53|56|14
17|23|26|46|68|20|23|25|37|44|64|7
1|21|31|45|49|21|17|23|26|46|68|20
20|54|56|61|64|7|1|21|31|45|49|21
3|6|9|17|56|25|20|54|56|61|64|7
17|19|21|22|51|19|3|6|9|17|56|25
22|42|45|55|56|14|17|19|21|22|51|19
11|16|38|50|69|19|22|42|45|55|56|14
14|29|36|57|61|17|11|16|38|50|69|19
5|14|31|40|50|6|14|29|36|57|61|17
20|22|28|45|50|8|5|14|31|40|50|6
17|18|39|56|64|12|20|22|28|45|50|8
40|50|54|62|69|19|17|18|39|56|64|12
9|10|12|17|23|9|40|50|54|62|69|19
17|19|26|61|62|15|9|10|12|17|23|9
16|18|27|55|67|18|17|19|26|61|62|15
2|17|20|38|39|20|16|18|27|55|67|18
8|24|42|54|64|24|2|17|20|38|39|20
8|24|52|55|61|21|8|24|42|54|64|24
6|8|26|52|53|21|8|24|52|55|61|21
10|33|45|53|56|24|6|8|26|52|53|21
3|4|18|29|61|25|10|33|45|53|56|24
22|57|59|60|66|7|3|4|18|29|61|25
6|12|24|41|68|9|22|57|59|60|66|7
43|44|54|61|69|22|6|12|24|41|68|9
6|13|19|36|51|18|43|44|54|61|69|22
13|17|25|36|40|5|6|13|19|36|51|18
12|30|59|65|69|16|13|17|25|36|40|5
24|25|38|62|63|6|12|30|59|65|69|16
7|15|31|34|36|8|24|25|38|62|63|6
13|26|39|44|62|2|7|15|31|34|36|8
37|39|44|46|69|26|13|26|39|44|62|2
1|13|27|41|59|20|37|39|44|46|69|26
23|34|35|40|47|10|1|13|27|41|59|20
15|23|27|48|53|6|23|34|35|40|47|10
4|7|14|46|59|22|15|23|27|48|53|6
17|21|26|47|54|7|4|7|14|46|59|22
5|9|11|33|64|21|17|21|26|47|54|7
26|28|47|49|58|3|5|9|11|33|64|21
3|33|37|51|57|21|26|28|47|49|58|3
14|25|35|58|69|24|3|33|37|51|57|21
7|24|33|49|50|4|14|25|35|58|69|24
12|29|30|33|61|26|7|24|33|49|50|4
2|18|37|39|42|12|12|29|30|33|61|26
28|36|41|51|58|24|2|18|37|39|42|12
3|9|16|56|60|3|28|36|41|51|58|24
1|3|13|15|44|25|3|9|16|56|60|3
1|20|61|64|69|20|1|3|13|15|44|25
9|35|37|50|63|11|1|20|61|64|69|20
2|24|28|51|58|7|9|35|37|50|63|11
25|36|37|55|60|6|2|24|28|51|58|7
19|20|50|55|62|9|25|36|37|55|60|6
28|30|32|36|58|6|19|20|50|55|62|9
24|26|28|59|63|16|28|30|32|36|58|6
8|13|27|53|54|4|24|26|28|59|63|16
35|37|46|51|61|13|8|13|27|53|54|4
17|28|31|32|39|26|35|37|46|51|61|13
23|32|44|48|50|25|17|28|31|32|39|26
4|6|16|30|56|18|23|32|44|48|50|25
12|14|20|21|34|22|4|6|16|30|56|18
12|14|26|48|51|13|12|14|20|21|34|22
3|6|19|26|44|1|12|14|26|48|51|13
27|35|38|57|66|10|3|6|19|26|44|1
18|22|29|54|57|8|27|35|38|57|66|10
14|41|42|45|69|4|18|22|29|54|57|8
30|49|54|66|69|8|14|41|42|45|69|4
32|37|56|66|69|11|30|49|54|66|69|8
1|3|13|19|69|23|32|37|56|66|69|11
10|49|61|63|65|7|1|3|13|19|69|23
22|23|62|63|66|24|10|49|61|63|65|7
